"b_alt1","b_alt2","b_wald_","b_wald2","b_groe_","b_prei_","b_ConSh_","b_HaAge_","b_FoUnt_","logLike"
0,0,0,0,0,0,0,0,0,-12527.4759276825
0,0,0,0,0,0,0,0,0,-12527.4759276825
-4.4269568e-08,-3.7093376e-08,-4.16804838708773e-06,-0.000290112611098888,-7.1467008e-08,-7.81254656e-06,-1.04136704e-07,-7.82827520000001e-08,-7.62511360000001e-08,-11664.1145022907
-6.38934052146943e-05,-4.14645241328954e-05,-0.00139360569002823,-0.00011295857821308,-8.30371929952706e-05,-0.0143747715335421,-0.000191170351152782,-7.83813563493227e-05,-8.58870551021668e-05,-11385.1309318978
-0.0011888725895261,0.00106987473352579,-0.0290083297745022,0.00021624074766679,0.00214295259657004,-0.0121465527326854,-0.0110501461789149,0.00549610831057404,0.00412037684900635,-11375.4397802459
-0.0154915184178138,0.05968107874041,-0.0321868729065821,0.000231316793337545,0.125962068086367,-0.0139576547331452,-0.282317304794029,0.204117865295047,0.163291644853519,-11136.2985729628
-0.00558185454478868,0.0744323295768281,-0.0270887601111239,0.000175868862428499,0.0880116309047519,-0.0138650220167394,-0.331210181789647,0.166267813377519,0.205245787080893,-11120.6988510764
0.0630763041831011,0.181464909713105,-0.033562664008298,0.000242322750444611,0.0615809029492459,-0.014357906038535,-0.309027532438904,0.173064785508831,0.248534679692937,-11114.4420530744
0.319761422516024,0.410502868236445,-0.0380813556074539,0.000285968551946291,0.00210612112328892,-0.0147244669098711,-0.352200502525952,0.185188195140954,0.20155839500072,-11099.5547240776
0.373642805936616,0.468924163203358,-0.040436536142436,0.000311383962355205,0.021133173564121,-0.0147137151385966,-0.363153074268724,0.162303609765381,0.192027294001013,-11095.3194103141
0.362364699404145,0.483255515606563,-0.0397391533186966,0.000304101660485051,0.0181618309915287,-0.0146369255755281,-0.367129718894115,0.161312844612273,0.183295554882562,-11094.5231252266
0.259868446041002,0.319408141572837,-0.0266778925991919,0.000136710630757022,0.0386247692597119,-0.00945406719571741,-0.431469172296561,0.145838693083012,0.242904771584163,-10800.3258671229
0.224281714276519,0.27371356288717,-0.0231255202463582,0.000107243846562029,0.0317014565316519,-0.0082769494284288,-0.369819395327771,0.121734182243061,0.206334279608492,-10786.2115997815
0.238256264543951,0.298420888181923,-0.0235992180697735,0.000112858961712845,0.0324453971736241,-0.008629584744561,-0.372889004818017,0.126669160436069,0.20870257782747,-10785.7131797832
0.235884140203507,0.293987583930391,-0.0235710658647795,0.00011288750386156,0.0332386768404743,-0.00861361297360574,-0.372565158504336,0.126632639011675,0.208944488000102,-10785.7087298663
0.235995885285629,0.294410754493308,-0.0235705509800727,0.000112913075791749,0.0330442932893312,-0.00861172503686078,-0.372641675316516,0.126550024401652,0.20888479416205,-10785.7086293152
0.23599623277958,0.294410027786245,-0.0235708559435026,0.000112912501869529,0.0330443062288398,-0.00861180996116462,-0.372640192196202,0.126550141720475,0.208884810467965,-10785.7086288756
